player_name,Unnamed: 0,age,player_height,player_weight,gp,pts_media_carrera,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,pts_22_23
Robert Williams III,11280.5,22.5,205.105,107.841498,43.5,6.425,5.85,1.225,2.65,0.114,0.19574999999999995,0.12324999999999994,0.72375,0.09274999999999997,8.0
Robin Lopez,8674.5,27.5,213.35999999999999,119.55389142857143,67.07142857142857,8.492857142857144,4.714285714285714,0.8357142857142856,-1.1357142857142857,0.1052142857142857,0.12328571428571429,0.17449999999999996,0.5731428571428571,0.05942857142857142,3.0
Rodney McGruder,10700.5,27.5,193.04,92.23037333333333,47.5,5.583333333333333,2.5,1.1166666666666667,-0.5,0.03916666666666667,0.09699999999999999,0.13449999999999998,0.5473333333333333,0.09049999999999998,5.7
Romeo Langford,11539.333333333334,21.0,193.88666666666666,97.975872,32.666666666666664,3.3666666666666667,1.8333333333333333,0.5,-0.06666666666666643,0.03766666666666667,0.078,0.11566666666666665,0.4633333333333334,0.051333333333333335,6.9
Royce O'Neale,10972.2,27.0,195.57999999999998,102.51179199999999,74.0,6.18,4.8,2.08,6.88,0.02299999999999998,0.15360000000000001,0.1072,0.5828,0.10939999999999998,8.8
Rudy Gay,8206.9375,27.5,203.35875,105.290043,66.5,16.18125,5.75,2.1125,0.19374999999999992,0.04618749999999999,0.159,0.23687499999999997,0.538375,0.11093749999999998,5.2
Rudy Gobert,9900.777777777777,26.0,215.9,113.09560533333332,67.88888888888889,12.022222222222222,11.333333333333334,1.2777777777777777,6.466666666666667,0.11977777777777776,0.2743333333333333,0.15766666666666665,0.6499999999999999,0.06466666666666666,13.4
Rui Hachimura,11570.333333333334,23.0,203.19999999999996,104.32616,49.0,12.866666666666667,5.133333333333333,1.4333333333333333,-6.033333333333332,0.034666666666666665,0.14566666666666667,0.19133333333333327,0.5543333333333332,0.07666666666666666,11.2
Russell Westbrook,8674.714285714286,26.5,190.5,88.61243714285715,72.92857142857143,22.95,7.4071428571428575,8.392857142857142,4.178571428571429,0.05085714285714286,0.1669285714285714,0.31485714285714284,0.5256428571428572,0.3979285714285714,15.9
Ryan Arcidiacono,10998.6,26.0,190.5,88.904032,43.4,3.5799999999999996,1.58,1.64,-4.06,0.0092,0.1022,0.10639999999999998,0.5794,0.1524,1.3
Saben Lee,11905.0,22.5,187.96,83.007336,42.5,5.6,2.2,3.25,-6.0,0.026,0.10600000000000001,0.16999999999999996,0.5175000000000001,0.3034999999999999,6.0
Saddiq Bey,11905.0,22.5,200.66,97.52228,76.0,14.15,4.95,2.0999999999999996,-7.45,0.0285,0.135,0.1955,0.548,0.10750000000000001,13.8
Sam Hauser,12261.0,24.0,200.66,98.429464,26.0,2.5,1.1,0.4,-0.3,0.03,0.133,0.136,0.65,0.095,6.4
Sam Merrill,11909.5,25.5,193.04,92.98636,18.0,3.6,1.1,0.7,-9.8,0.018000000000000002,0.1005,0.16199999999999998,0.544,0.1215,5.0
Sandro Mamukelashvili,12262.0,23.0,205.74,108.86208,41.0,3.8,2.0,0.5,-17.6,0.079,0.1159999999999999,0.142,0.618,0.084,6.1
Santi Aldama,12263.0,21.0,210.82,97.52228,32.0,4.1,2.7,0.7,1.3,0.077,0.15,0.174,0.452,0.08,9.0
Scottie Barnes,12264.0,20.0,200.66,102.0582,74.0,15.3,7.5,3.5,1.8,0.068,0.141,0.187,0.552,0.15,15.3
Serge Ibaka,8928.615384615385,26.0,208.67076923076925,107.64087076923077,69.46153846153847,12.015384615384615,7.1,0.8538461538461538,4.8,0.086,0.19092307692307692,0.18884615384615383,0.572,0.050769230769230754,4.1
